Ticker;Name;Exchange;Category Name;
MARL.IC;Marel hf.;ICEX;Diversified Machinery;
ICEAIR.IC;Icelandair Group hf.;ICEX;Major Airlines;
NYHR.IC;Nýherji hf.;ICEX;Application Software;
OSSRu.IC;Össur hf.;ICEX;;
REITIR.IC;Reitir hf.;ICEX;REIT - Retail;
REGINN.IC;Reginn hf.;ICEX;REIT - Retail;
EIK.IC;Eik hf.;ICEX;REIT - Retail;
SIMINN.IC;Síminn hf.;ICEX;Wireless Communications;
VOICE.IC;Fjarskipti hf.;ICEX;Wireless Communications;
GRND.IC;HB Grandi hf.;ICEX;;
SJOVA.IC;Sjóvá hf.;ICEX;Life Insurance;
N1.IC;N1 hf.;ICEX;;
TM.IC;Tryggingamiðstöðin hf.;ICEX;Life Insurance;
VIS.IC;Vátryggingarfélag Íslands hf.;ICEX;Life Insurance;
EIM.IC;Eimskipafélag Íslands hf.;ICEX;Air Delivery & Freight Services;
HAGA.IC;Hagar hf.;ICEX;Discount, Variety Stores;
VERIZ.AS;VERIZON COMM ;AMS;
ZIGGO.AS;ZIGGO;AMS;
MEURV.AS;MUENCH RUECKVERS N;AMS;
VDR.AS;RANDSTAD HOLDING;AMS;
PNL.AS;POSTNL;AMS;
IM.AS;ROYAL IMTECH;AMS;
SBMO.AS;SBM OFFSHORE;AMS;
DEPCF.AS;7.125 DEPFA BK;AMS;
TWEKA.AS;TKH GROUP;AMS;
VALUE.AS;VALUE8;AMS;
FUR.AS;FUGRO;AMS;
REN.AS;REED ELSEVIER NV;AMS;
PHIA.AS;ROY.PHILIPS;AMS;
YATRA.AS;YATRA CAPITAL;AMS;
GTO.AS;GEMALTO;AMS;
KTC.AS;TEN CATE;AMS;
TBIRD.AS;THUNDERBIRD RESORTS;AMS;
VTA.AS;VOLTA FINANCE -NPV-;AMS;
XEI.AS;;AMS;
HEIA.AS;HEINEKEN;AMS;
USG.AS;USG PEOPLE;AMS;
WKL.AS;WOLTERS KLUWER;AMS;
NSE.AS;NEW SOURCES ENERGY;AMS;
NISTI.AS;NIEUWE STEEN INV;AMS;
VIVE.AS;;AMS;
TNTE.AS;TNT EXPRESS ;AMS;
NUO.AS;NUTRECO;AMS;
TOM2.AS;TOMTOM;AMS;
AGN.AS;AEGON;AMS;
RDSA.AS;ROYAL DUTCH SHELL-A;AMS;
AKZA.AS;AKZO NOBEL;AMS;
UNA.AS;UNILEVER CERT;AMS;
AXS.AS;ACCSYS TECHNOLOGIES;AMS;
RAND.AS;RANDSTAD HOLDING;AMS;
NAI.AS;NOKIA;AMS;
VASTN.AS;VASTNED RETAIL;AMS;
FORBI.AS;;AMS;
WHA.AS;WERELDHAVE NV;AMS;
UNIA.AS;UNILEVER;AMS;
OBL.AS;UNIBAIL-RODAMCO;AMS;
AH.AS;KON. AHOLD;AMS;
KARD.AS;KARDAN NV;AMS;
RDSB.AS;ROYAL DUTCH SHELL-B;AMS;
MT.AS;ARCELORMITTAL REG;AMS;
20144370.AS;VOLTA FIN STK 12;AMS;
IDI;Tiger Media, Inc.;ASE;Advertising Agencies
TIK;Tel-Instrument Electronics Corp.;ASE;Aerospace/Defense - Major Diversified
CVU;CPI Aerostructures Inc.;ASE;Aerospace/Defense Products & Services
AIRI;Air Industries Group;ASE;Aerospace/Defense Products & Services
BZC;Breeze-Eastern Corporation;ASE;Aerospace/Defense Products & Services
CNR;China Metro-Rural Holdings Limited;ASE;Air Delivery & Freight Services
RLGT;Radiant Logistics, Inc.;ASE;Air Delivery & Freight Services
GSB;GlobalSCAPE, Inc.;ASE;Application Software
IDN;Intellicheck Mobilisa, Inc.;ASE;Application Software
CET;Central Securities Corp.;ASE;Asset Management
UQM;UQM Technologies Inc.;ASE;Auto Parts
CRV;Coast Distribution System Inc.;ASE;Auto Parts Wholesale
